"5526 Parmerton Avenue, Temple City, California 91780",8573-008-011,M25-50651,Mechanical,"RELOCATE EXISTING AC UNIT, (3) AIR INLETS, (2) VENTILATION FANS AND ALTERATION OF EXISTING DUCT WORK",$0,Issued,12-03-2025,12-03-2025,"Precision General Construction, Inc."
"6059 Golden West Avenue, Temple City, California 91780",5385-019-001,MISC25-50649,Miscellaneous,"TO VERIFY COMPLIANCE: (1) REMOVE UNPERMITTED WALL AT THE HOME ENTRY. (2) REMOVE UNPERMITTED WASTE PLUMBING AT LIVING ROOM",$0,Finaled,12-03-2025,12-03-2025,Owner-Builder
"5526 Parmerton Avenue, Temple City, California 91780",8573-008-011,P25-50469,Plumbing,"ADDITION: (1) SHOWER, (1) HOSE BIBB, (3) LAVATORIES, (2) WATER CLOSETS, (1) WATER HEATER, (1) DRAINAGE VENT, (5) WATER PIPE FIXTURES",$0,Issued,11-10-2025,12-03-2025,"Precision General Construction, Inc."
"4924 Rosemead Boulevard, San Gabriel, California 91776",5388-021-004,P25-50640,Plumbing,"WATER HEATER 65 GALLONS",$0,Finaled,12-03-2025,12-03-2025,"Service Genius Corporation"
"5623 Encinita Avenue Unit A-B , Temple City, California 91780",5387-019-006,P25-50647,Plumbing,"SHOWER, DISHWASHER, LAVATORY, KITCHEN SINK, WATER CLOSET, GAS OUTLET AND CONNECT JUNIOR ACCESSORY DWELLING UNIT TO PUBLIC SEWER",$0,Issued,12-03-2025,12-03-2025,Owner-Builder
"6029 Agnes Avenue, Temple City, California 91780",5385-027-008,B25-48612,Building,"NEW 2-STORY SINGLE FAMILY DWELLING: 5 BEDROOMS, 5 BATHROOMS, 1 POWDER ROOM, WITH ATTACHED 3-CAR GARAGE WITH LAUNDRY AREA, COVERED PORCH AND TRELLIS PATIO","$622,486.37",Issued,02-20-2025,12-04-2025,"Eric Construction Inc."
"4526 Fiesta Avenue Unit B , Temple City, California 91780",8592-001-028,B25-49529,Building,"CONVERT EXISTING 365 SQ.FT. DETACHED GARAGE INTO STUDIO ACCESSORY DWELLING UNIT","$37,554.85",Issued,07-02-2025,12-04-2025,Owner-Builder
"8748 Longden Avenue, San Gabriel, California 91775",5386-009-004,B25-50565,Building,"ROOF MOUNTED RESIDENTIAL SOLAR PV 7.290 KW, (18) MODULES (1) TESLA POWERWALL3","$35,126.1",Issued,11-19-2025,12-04-2025,"Ilum Solar dba Ilum Energy Solutions"
"4846 Camellia Avenue, Temple City, California 91780",8589-016-009,B25-50650,Building,"REMOVE TILE, INSTALL SYNTHETIC UNDERLAYMENT, INSTALL COMPOSITE SHINGLES AROUND SOLAR ARRAY 11 SQ.'S",$6284.27,Issued,12-03-2025,12-04-2025,"Grand Canyon Roofing Inc."
"8748 Longden Avenue, San Gabriel, California 91775",5386-009-004,E25-50566,Electrical,"(1) TESLA POWERWALL3 (1) TESLA BACK UP SWITCH, (1) RAPID SHUTDOWN, (1) 60A KNIFE AC DISCONNECT, (6) MID-CIRCUIT INTERRUPTERS",$0,Issued,11-19-2025,12-04-2025,"Ilum Solar dba Ilum Energy Solutions"
"6029 Agnes Avenue, Temple City, California 91780",5385-027-008,E25-50656,Electrical,"ELECTRICAL FOR A NEW SINGLE FAMILY DWELLING WITH 200 AMP SERVICE PANEL",$0,Issued,12-04-2025,12-04-2025,"Eric Construction Inc."
"6029 Agnes Avenue, Temple City, California 91780",5385-027-008,G25-48613,Grading,"GRADING FOR A NEW 2-STORY SINGLE FAMILY DWELLING UNIT",$0,Issued,02-20-2025,12-04-2025,"Eric Construction Inc."
"6029 Agnes Avenue, Temple City, California 91780",5385-027-008,M25-50657,Mechanical,"INSTALL (2) HVAC SYSTEMS FOR A SINGLE FAMILY DWELLING",$0,Issued,12-04-2025,12-04-2025,"Eric Construction Inc."
