"5439 Cloverly Avenue, Temple City, California 91780",8588-028-021,B25-49160,Building,"NEW COVERED FRONT PORCH",$4000,Issued,05-07-2025,05-07-2025,Owner-Builder
"5439 Cloverly Avenue, Temple City, California 91780",8588-028-021,B25-49161,Building,"REROOF OVER EXISTING WITH COMPOSITION SHINGLE (NO TEAR OFF)","$12,000",Issued,05-07-2025,05-07-2025,Owner-Builder
"10227 Green Street, Temple City, California 91780",8585-005-016,B25-49162,Building,"REPLACE ALL (14) WINDOWS AND (1) FRONT DOOR LIKE FOR LIKE",$8500,Issued,05-07-2025,05-07-2025,Owner-Builder
"9177 Las Tunas Drive #A-B , Temple City, California 91780",5387-016-002,B25-49163,Building,"BUILD DISPLAY AREA FOR KITCHEN AND BATH FIXTURES (NONE WILL BE WORKING FIXTURES) LIGHTS INSTALLED ABOVE",$2000,Issued,05-07-2025,05-07-2025,"Sierra Azure Construction Corp."
"5370 El Monte Avenue, Temple City, California 91780",8573-003-022,B25-49167,Building,"INSTALL PV + ESS SYSTEM SIZE: 6.000 KW DC MODULE TYPE & COUNT: (15) CERTAINTEED CTM10400HC11-09INVERTER : (1) SOLAREDGE SE7600H-USOPTIMIZER (15) SOLAREDGE S500BATTERY: (1) SOLAREDGE HOME BATTERY 10KW",$0,Issued,05-07-2025,05-07-2025,"Solar Price Discovery Inc. dba Solar Discovery"
"9324 Lower Azusa Road, Temple City, California 91780",8592-003-051,E25-49157,Electrical,"ONE SET OF ILLUMINATED CHANNEL LETTERS WALL SIGN ""7 DAY ROOFING",$0,Issued,05-07-2025,05-07-2025,"Nanjing Corp dba Sign Art Co."
"9177 Las Tunas Drive #A-B , Temple City, California 91780",5387-016-002,E25-49164,Electrical,"(3) OUTLETS AND (12) LIGHT FIXTURES",$0,Issued,05-07-2025,05-07-2025,"Sierra Azure Construction Corp."
"9858 Flaherty Street, Temple City, California 91780",5385-026-004,E25-49166,Electrical,"MAIN HOUSE PANEL UPGRADE FROM 100 AMP TO 200 AMP",$0,Issued,05-07-2025,05-07-2025,"Potato Construction Inc."
"5370 El Monte Avenue, Temple City, California 91780",8573-003-022,E25-49168,Electrical,"(1) SOLAREDGE HOME BATTERY 10KW",$0,Issued,05-07-2025,05-07-2025,"Solar Price Discovery Inc. dba Solar Discovery"
"5920 Hart Avenue, Temple City, California 91780",5384-014-001,P25-49165,Plumbing,"WATER MAIN LINE FOR A FILTRATION SYSTEM REROUTE",$0,Issued,05-07-2025,05-07-2025,"Western Supreme Rooter Inc."
"5022 Rio Hondo Avenue, Temple City, California 91780",8590-026-012,B25-48282,Building,"ADD 418 SQ.FT. TO THE EXISTING 1621 SQ.FT. ONE-STORY HOUSE. REMODEL 1490 SQ.FT. OF INTERIOR REMODEL. COVERED PORCH, COVERED PATIO AND 222 SQ.FT. TO EXISTING GARAGE TO TWO AND RECONFIGURE THE ROOF TO ACCOMMODATE THE NEW ADDITION","$171,003.04",Issued,01-13-2025,05-08-2025,"ABP Global Inc."
"5322 Buttons Avenue Unit A , Temple City, California 91780",8590-004-028,B25-49173,Building,"TEAR OFF RE-ROOF SHINGLE MIDNIGHT COOL ROOF","$16,000",Issued,05-08-2025,05-08-2025,"Milestone Construction Inc."
