permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-7190,"Awaiting Applicant Response","Building Permit With Plan Check",11/25/2025,,"1140 Highland Ranch Rd Cloverdale [CLO]",117-110-007,$927.00,$195.00,"Installation of fence per plans. Installation of an automated gate per plans."
BLD25-7194,Issued,"Building Permit With Plan Check",11/25/2025,11/26/2025,"3175 Sullivan Rd Graton [GRA]",130-090-024,$479.10,,"INSTALL AN ENERGY STORAGE SYSTEM, COMPRISING: · (01) SOL-ARK-15K-2P-N INVERTER · (02) PYTES V-BOX-OC (23.04KW, 30.72KWH) · (01) ENERGY SYSTEM DISCONNECT MODIFY EXISTING SOLAR STRUCTURE, AS PER ENGINEER'S INSTRUCTIONS (ATTACHED)"
BLD25-7197,Issued,"Building Permit With Plan Check",11/25/2025,11/28/2025,"1630 Reiman Ln Windsor [WIN]",066-210-034,$629.25,,"SFD, NEW PHOTOVOLTAIC PITCHED ROOF MOUNTED SYSTEM - 7.380 KW DC/6.807 KW CEC AC & ENERGY STORAGE SYSTEM - 16.12 KWH"
BLD25-7199,Started,"Building Permit With Plan Check",11/25/2025,,"19404 Wyatt Rd Sonoma [SON]",142-180-059,$0.00,$0.00,"145 SQ. FT. SUNROOM ADDITION TO EXSITING 2785 SF RESIDENCE. NEW BATHROOM IN EXISTING LAUNDRY LOCATION, NEW LAUNDRY ROOM"
BLD25-7204,Issued,"Building Permit With Plan Check",11/25/2025,12/04/2025,"2001 Denmark St Sonoma [SON]",126-140-006,$704.25,,"BARN: (NEW) FLUSH MOUNTED PV SYSTEM W/ GRID TIED MICROINVERTERS, WITH (NEW) BATTERY STORAGE, (EXISTING) MAIN SERVICE PANEL"
BLD25-7205,Check,"Building Permit With Plan Check",11/25/2025,,"4188 Price Ave Bellevue [BEL]",035-082-049,$335.65,$5000.00,"Legalization of existing wood archways allowed by UPE23-0039."
BLD25-7211,"Application Accepted/In Review","Building Permit With Plan Check",11/26/2025,,"1529 Lupine Dr Santa Rosa [SRO]",034-072-009,$0.00,,"SFD, 9 kW-DC Residential Roof Mount Solar PV System Installation w/15 kWh Energy Storage for self consumption only (no backup)."
BLD25-7213,Started,"Building Permit With Plan Check",11/26/2025,,"498 Bloomfield Rd Twin Hills [TWI]",063-213-034,$0.00,$0.00,"Residential ADU and Garage Addition at 498 Bloomfield Rd, Sebastopol, CA."
BLD25-7222,Started,"Building Permit With Plan Check",11/26/2025,,"17700 Carriger Rd Sonoma [SON]",133-020-058,$0.00,$0.00,"Parcel 2 - New two-story, 6177 sq ft, single-family dwelling with 6 bedrooms, 6.5 bathrooms and 3-car garage."
BLD25-7225,Issued,"Building Permit With Plan Check",11/26/2025,12/02/2025,"998 W Sexton Rd Twin Hills [TWI]",077-040-076,$629.25,,"SFD, Roof Mount Solar Install 7.83kW DC and ESS 21.0kWh AC"
BLD25-7227,"Awaiting Applicant Response","Building Permit With Plan Check",11/26/2025,,"1701 Mark West Springs Rd Mark West Springs [MWS] NEW PHOTOVOLTAIC PITCHED ROOF MOUNTED SYSTEM - 15.990 KW",067-280-010,$0.00,$0.00,"DC/14.748 KW CEC AC & ENERGY STORAGE SYSTEM - 32.24 KWH"
BLD25-7229,Issued,"Building Permit With Plan Check",11/26/2025,12/03/2025,"1675 Mountain View Ave Petaluma [PET]",019-382-001,$629.25,,"SFD, (N) Pitched Roof Mount Solar System 2.870 kW & ESS 8.06 kWh"
BLD25-7230,"Application Accepted/In Review","Building Permit With Plan Check",11/26/2025,,"10959 Westside Rd Forestville [FOR]",085-010-013,$1213.75,,"SFD - (N) 5.52kW Ground-mount PV System w/ 15kWh ESS Ground-mount PV 5.52kW DC and ESS 15kWh AC."
BLD25-7233,"Awaiting Applicant Response","Building Permit With Plan Check",11/27/2025,,"703 Verano Ave Agua Caliente [AGU]",052-343-028,$0.00,$0.00,"SFD, Interior Remodel, add (N) Bathroom and remodel (E) Bathroom, new electrical, relocate (E) interior non-load bearing walls."
BLD25-7235,Issued,"Building Permit With Plan Check",11/28/2025,12/04/2025,"6056 Ross Branch Rd Forestville [FOR]",084-050-020,$659.25,,"Install PV 16.24 kW DC rated roof mounted solar system and 30 kWh ESS. Install IQ meter collar at Main Service Panel. Dig ~120’ trench on shop/storage building"
BLD25-7239,,"Plan Check",11/28/2025,,"12200 Brooks Rd Windsor [WIN]",086-090-019,$487.55,,"SFD Ground Mount Solar Panel Install 33.48 kW DC, (N) ESS 76.8 kWh, (72) REC Solar REC620 Pro M solar panels, (3) Sol-Ark Limitless 15K-240V inverters, (4) HomeGrid Stack'D Series 19.2 kWh batteries, (1) Combiner panel, (2) 200A Double Pull AC Disconnects"
BLD25-7241,Issued,"Building Permit With Plan Check",11/29/2025,12/03/2025,"316 Monte Vista Ln Petaluma [PET]",021-100-026,$456.25,,"SFD_NEW INSTALLATION OF 6.09 KW DC SOLAR INTO EXISTING 12.3 KW DC SOLAR SYSTEM WITH 40KWH HOME STORAGE BATTERY"
BLD25-7242,,"Plan Check",11/30/2025,,"8120 Whited Rd Twin Hills [TWI]",060-221-015,$806.92,$30921.70,"SFD Interior Remodel (373 SF) - Open Walls in Living Room/Kitchen Area & Create Laundry Room"
DEM25-0394,Finaled,"Demolition Permit",11/3/2025,11/24/2025,"3300 Thorn Rd Twin Hills [TWI]",076-160-046,$252.08,$0.00,"Demo (E) MFG Ag Worker Housing (708 SF), Covered Entry (249 SF), & Deck (240 SF) for Replacement MFG Home under BLD25-5447"
DEM25-0395,"Awaiting Applicant Response","Demolition Permit",11/4/2025,,"14020 Green Valley Rd Forestville [FOR]",085-200-015,$0.00,$0.00,"Demo of culvert in RC without permit"
DEM25-0396,Issued,"Demolition Permit",11/4/2025,11/05/2025,"2844 Adobe Rd Petaluma [PET]",017-070-004,$1024.08,$0.00,"Demo Unpermitted Metal Building #1 (800 SF) to clear VBU24-0302"
DEM25-0397,Issued,"Demolition Permit",11/5/2025,11/05/2025,"2844 Adobe Rd Petaluma [PET]",017-070-004,$1024.08,$0.00,"Demo Unpermitted Metal Building #2/Tank House (775 SF) to clear VBU24- 0303"
DEM25-0398,Issued,"Demolition Permit",11/5/2025,11/05/2025,"2844 Adobe Rd Petaluma [PET]",017-070-004,$1024.08,$0.00,"Demo Unpermitted Metal Building #3 (480 SF) to clear VBU24-0304"
DEM25-0399,Issued,"Demolition Permit",11/5/2025,11/05/2025,"2844 Adobe Rd Petaluma [PET]",017-070-004,$1024.08,$0.00,"Demo Building #4 (Tank House) 256 SF"
DEM25-0400,"Application Accepted/In Review","Demolition Permit",11/5/2025,,"6150 Eastside Rd Forestville [FOR]",083-010-043,$0.00,$0.00,"(11/5/25 Pending Septic Tank Destruct Permit) Demo Unpermitted Mobile Home to clear VBU01-0807 (has already been removed from property)"
DEM25-0401,"Awaiting Applicant Response","Demolition Permit",11/6/2025,,"11856 Redwood Rd Forestville [FOR]",081-271-038,$0.00,$0.00,"Demo unpermitted addition of a bathroom and kitchen (violations: VBU21-0755, VBU21-0756)"
DEM25-0402,Finaled,"Demolition Permit",11/7/2025,11/07/2025,"2301 Nuns Canyon Rd Glen Ellen [GLE]",053-051-039,$0.00,$0.00,"EVT17-03951 Demo SFD (1,272 SF) Lost in 2017 Sonoma Complex Fire"
DEM25-0403,"Pre- Due","Demolition Permit",11/8/2025,,"2211 Sanders Rd Twin Hills [TWI]",076-110-070,$1024.08,$0.00,"Demo permit to remove cargo container to correct violation VBU19-0327"
DEM25-0404,"Pre- Due","Demolition Permit",11/8/2025,,"2211 Sanders Rd Twin Hills [TWI]",076-110-070,$1024.08,$0.00,"Demo permit to remove electrical in 120sqft accessory structure, non-dwelling to correct VBU19-0326"
DEM25-0405,"Pre- Due","Demolition Permit",11/8/2025,,"2211 Sanders Rd Twin Hills [TWI]",076-110-070,$1024.08,$0.00,"Demo permit to remove tenant improvements to exiting barn including cultivation lighting, HVAC (air-conditioning units), and irrigation line. Existing single bulb lighting to remain. To correct VBU19-0325"
DEM25-0406,"Awaiting Applicant Response","Demolition Permit",11/10/2025,,"520 Stage Gulch Rd Lakeville [LAK]",068-020-017,$0.00,$0.00,"The property is an abandoned cannabis farm formerly operated by lessee, Toley Farms, LLC. The applicant is the trustee of the Thomas P. Altenreuther Revocable Living Trust. We are cleaning up a large mess left by the former tenant. The purpose of this permit is to demolish and remove a commercial coach and clear up violation VBU-0561"
DEM25-0407,"Application Accepted/In Review","Demolition Permit",11/11/2025,,"20601 Bohemian Ave Monte Rio [MRO]",097-110-005,$0.00,$0.00,"(Well & Septic Comments Sent 11/24/25) Demo of (E) Lodge Building in Preparation for Replacement under BLD25-3099 (Approx. 1200 SF)"
DEM25-0408,Issued,"Demolition Permit",11/12/2025,11/18/2025,"9155 Mill Station Rd Twin Hills [TWI]",061-142-006,$252.08,$0.00,"Demo Shed 500 SF, remains from fire"
DEM25-0409,"Application Accepted/In Review","Demolition Permit",11/12/2025,,"79 Plymouth St Camp Meeker [CAM]",075-155-003,$0.00,$0.00,"Demo carport and unpermitted roof-mount solar panel cluster to clear violation # VBU25-0405"
DEM25-0410,Finaled,"Demolition Permit",11/13/2025,11/13/2025,"173 Meadowcroft Way Mark West Springs [MWS]",029-070-048,$0.00,$0.00,"EVT17-04229 Demolish primary residence with garage 2017 Sonoma Complex Fire"
DEM25-0411,"Pre- Due","Demolition Permit",11/13/2025,,"20601 Bohemian Ave Monte Rio [MRO]",097-110-005,$252.08,$0.00,"Demo (E) kitchen to prepare for BLD25-3100"
DEM25-0412,"Pre- Due","Demolition Permit",11/14/2025,,"9155 Mill Station Rd Twin Hills [TWI]",061-142-006,$252.08,$0.00,"Demo Detached Garage 700 SF, remains from fire"
DEM25-0413,Issued,"Demolition Permit",11/14/2025,11/18/2025,"4300 Carmelita Ct Bennett Valley [BEN]",049-400-021,$252.08,$0.00,"Demo Pool, removal and off-haul of existing pool"
DEM25-0414,Issued,"Demolition Permit",11/15/2025,11/17/2025,"4233 Browns Ln Petaluma [PET]",068-010-016,$252.08,$0.00,"DEMO OLD WOODEN SHEEP SHED 16x16 We would like a demolition permit to take down an old wooden shed built for housing sheep. It is 16 ft x 16 ft (256 sq ft) with a dirt floor and no plumbing or electrical connection. We believe this unpermitted agricultural structure was built by the previous owner of the property roughly 30-40 years ago."
DEM25-0416,"Awaiting Applicant Response","Demolition Permit",11/19/2025,,"16315 4th St Guerneville [GUE]",070-030-026,$0.00,$0.00,"Tear. Down un permitted structure"
DEM25-0417,Issued,"Demolition Permit",11/20/2025,11/21/2025,"5566 Hwy 116 N Forestville [FOR]",084-170-001,$252.08,$0.00,"Comm, Demo Bunk House 834 SF for Red Car Winery at 5566 Hwy 116 Forestville. fully removed to grade. See plans for additional details Red Car Winery purchased the Kozlowski farms property and will convert to a functioning winery under permit BLD25-3072. The conversion requires modification of the existing facility buildings including structures in significant disrepair which need to be removed to allow for the proposed improvements."
ENC25-0386,Paid,Encroachment,11/3/2025,,"5321 Old Redwood Hwy Windsor [WIN]",039-025-029,$289.72,$0.00,"[PC Invoiced] Destruction of Monitoring wells - all well removal activities will be done on private property or in the parking lane on the side of the road. Stratus does not expect any work activities to interfere with traffic on the roadways."
ENC25-0387,Paid,Encroachment,11/4/2025,,"19389 Hidden Valley Rd Guerneville [GUE]",072-060-059,$289.72,$0.00,"[PC Invoiced] PM 35658888 - PG&E to install pole and OH services, remove tree attachments"
ENC25-0388,Paid,Encroachment,11/4/2025,,"1250 River Rd Santa Rosa [SRO]",059-130-023,$289.72,$0.00,"[PC Invoiced] Drilling and sampling of 2 geotechnical borings for a California American Water project near parcels APN 059-130-023 and 059-140-001. The borings will be drilled through the asphalt and sampled to a depth of 25 feet below the ground surface. Upon completion, the borings will be backfilled with neat cement grout and patched at the surface with black-dyed rapid set concrete."
ENC25-0390,Paid,Encroachment,11/6/2025,,"4444 Sunland Ave Bellevue [BEL]",134-243-036,$289.72,$0.00,"PG&E to cut and kick existing joint pole. Install new pole, OH Tx and OH services. Temporary Road closure is need to complete work. PM 35660525."
ENC25-0391,Paid,Encroachment,11/7/2025,,"21000 Fort Ross Rd Fort Ross [FTR]",107-320-005,$289.72,$0.00,"[PC Invoiced] FRONTIER FTTH 5386211: Frontier to overlash aerial cable to existing strand and place cable in to existing conduit along various locations. Please see TCP for details.No excavation required."
ENC25-0392,Paid,Encroachment,11/10/2025,,"3321 Mueller Rd Graton [GRA]",130-180-017,$289.72,$0.00,"[PC Invoiced] Proposed work entails: 10' open cut and 1 bore pit to place fiber optic cable underground."
ENC25-0394,Paid,Encroachment,11/11/2025,,"320 Greene St Kenwood [KEN]",050-162-012,$289.72,$0.00,"[PC Invoiced] Excavate in PRW to install new water service. Backfill and Pave per Sonoma County standard 219B."
ENC25-0395,Paid,Encroachment,11/12/2025,,"10473 Willig Dr Jenner [JEN]",099-113-004,$289.72,$0.00,"[PC Invoiced] FRONTIER FTTH 5386213: Frontier to overlash aerial cable to existing strand and place cable in to existing conduit along various locations. Place conduit and 17""X30"" HH along Willig Dr. Please see TCP for details."
ENC25-0396,Paid,Encroachment,11/13/2025,,"160 Dorchester Ct N Windsor [WIN]",058-241-013,$289.72,$0.00,"[PC Invoiced] Fire Rebuild- Install driveway apron"
ENC25-0397,Paid,Encroachment,11/13/2025,,"9825 Old Redwood Hwy Penngrove [PEN]",047-022-013,$289.72,$0.00,"[PC Invoiced] FOR SHOULDER CLOSURE TO ACCESS SAI #1 AND POLE #1 ON MINNESOTA AVE. AT&T JOB A05BT3G"
ENC25-0399,"Plan Check Encroachment",,11/14/2025,,"9450 Spring Hill School Rd Twin Hills [TWI]",077-110-068,$289.72,$0.00,"[Paid 11/17/2025] Upgrading the existing gravel driveway entrance. Associated BLD25-3861"
ENC25-0400,Paid,Encroachment,11/14/2025,,"683 Gossage Ave Petaluma [PET]",048-170-012,$289.72,$0.00,"[PC Invoiced] Trench and install electrical conduit, gas and communication"
ENC25-0401,Paid,Encroachment,11/17/2025,,"181 Airport Blvd E Windsor [WIN]",039-025-067,$289.72,$0.00,"[PC Invoiced] PLACE NEW AT&T 864 PFP (40.5""H X 42.8""W X 19.9""D) CABINET ON NEW CONCRETE PAD (55""W X 25.6""D). TRENCH AND PLACE ±2' OF 1-4"" CPC FROM (E)MH #3058(LID 1) TO NEW PFP CABINET. REMOVE AND RESTORE (30 SQ FT) OF CONCRETE SIDEWALK SURFACE. #A054JH9"
ENC25-0402,Paid,Encroachment,11/17/2025,,"203 Hatchery Rd Penngrove [PEN]",047-152-018,$289.72,$0.00,"[PC Invoiced] PG&E to pinpoint and excavate to repair gas leak. Permit to include all necessary restoration. Temporary road closure and detour route needed to complete work. PM 47281944"
ENC25-0403,Paid,Encroachment,11/17/2025,,"7219 Lynch Rd Twin Hills [TWI]",060-150-013,$289.72,$0.00,"[PC Invoiced] Pave existing driveway"
ENC25-0404,Paid,Encroachment,11/18/2025,,"1745 Aviation Blvd Santa Rosa [SRO]",059-430-007,$289.72,$0.00,"[PC Invoiced] Removal of one existing driveway off Aviation Blvd. on the projects southeast frontage. Installation of two new driveway along Aviation Blvd ."
ENC25-0405,Paid,Encroachment,11/21/2025,,"18789 King Ridge Dr Guerneville [GUE]",106-260-037,$289.72,$0.00,"[PC Invoiced] FRONTIER FTTH 5386214: Frontier to overlash aerial cable on to New/existing strand along various locations. Please see TCP for details.No excavation required."
ENC25-0406,Paid,Encroachment,11/21/2025,,"4540 Primrose Ave Bellevue [BEL]",134-265-004,$289.72,$0.00,"[PC Invoiced] PG&E to replace joint pole, install OH Tx and OH services to meter location. Temporary road closure and detour plan required to complete work. PM 35671017"
ENC25-0407,Paid,Encroachment,11/21/2025,,"3381 McMaude Pl Bellevue [BEL]",134-102-063,$289.72,$0.00,"[PC Invoiced] OVERLASH NEW CABLE ON PRIVATE PROPERTY - TEMPORARY TCP TO SPLICE CABLE AT MULTIPLE LOCATIONS"
ENC25-0408,Paid,Encroachment,11/24/2025,,"840 Horn Ave Glen Ellen [GLE]",054-270-015,$289.72,$0.00,"{Pc Invoiced] Encroachment Permit for SEW25-0120"
ENC25-0409,Paid,Encroachment,11/24/2025,,"10140 Canyon Rd Forestville [FOR]",082-202-043,$289.72,$0.00,"[PC Invoiced] Provide a new storm drain for a proposed storm drain shift"
ENC25-0410,Paid,Encroachment,11/25/2025,,"360 Ursuline Rd Windsor [WIN]",,$289.72,$0.00,"[PC Invoiced] Boulder placement inside right of way, 7' from road asphalt edge. 058-060-035"
ENC25-0411,Paid,Encroachment,11/25/2025,,"3511 Phillips Ave Bellevue [BEL]",134-081-015,$289.72,$0.00,"[PC Invoiced] New 15-foot-wide driveway to the parcel from Phillips Avenue"
ENC25-0412,Paid,Encroachment,11/26/2025,,"100 Sparks Rd",063011027,$289.72,$0.00,"[PC Invoiced] Asphalt paving driveway entrance and replace 40' of drainage pipe running along entrance to driveway at street"
ENC25-0413,Started,Encroachment,11/26/2025,,"10221 Old Redwood Hwy Windsor [WIN]",086-220-009,$0.00,$0.00,"**Will Void**. This project proposes to place traffic control signage within COUNTY OF SONOMA jurisdiction for the work being performed in TOWN OF WINDSOR jurisdiction."
ENC25-0414,Paid,Encroachment,11/26/2025,,"25971 Freezeout Rd Monte Rio [MRO]",096-110-029,$289.72,$0.00,"[PC Invoiced] Proposal for Temporary Gravel Driveway During Construction Proposed Under GRD25-0009"
GRD22-,,,,,,,,,
0232.R01,Check,"Grading Permit",11/4/2025,,"7400 Shiloh Ridge Rd Windsor [WIN]",079-260-012,$0.00,$0.00,"Grading and drainage for building pads for gym (BLD22-7710), garages (BLD22-7753), SFD (BLD22-7347), pickle ball court & pool, storm water mitigation, retaining walls (BLD23-4022), auto courts & associated site improvements. Revision adds tanks & pad, walking paths, moves pickle ball court & fire pit, modifies drainage, & adds landscape retaining walls. (Non DPR)"
GRD24-,,,,,,,,,
0044.R01,"Plan Check Comments Sent","Grading Permit",11/3/2025,,"1985 Westside Rd A Healdsburg [HEA]",110-150-021,$0.00,$0.00,
"GRD25-0189 Ready for Plan",Check,"Grading Permit",11/3/2025,,"3915 Llano Rd Bellevue [BEL]",063-180-045,$3452.30,$0.00,"Site improvements including grading, driveway, patio, and utilities in support of proposed ADU under bedroom swap per WSR25-0065"
GRD25-0192,,,11/12/2025,,"5566 Hwy 116 N Forestville [FOR]",084-170-001,$3084.80,$0.00,"Grading & drainage improvements associated with the construction of a process wastewater pond to serve the wine making on site."
"GRD25-0193 Ready for Plan",Check,"Grading Permit",11/13/2025,,"2060 Woodhawk Ln Cloverdale [CLO]",117-270-017,$3244.85,$0.00,"*** Emergency Repair Permit** Grading and Drainage Improvements for an emergency repair of an existing slide area within an active vineyard"
"GRD25-0194 Ready for Plan",Check,"Grading Permit",11/14/2025,,"22108 Koftinow Dr Timber Cove [TIM]",109-410-020,$3452.30,$0.00,"The purpose of this grading plan is for the construction of driveway for a new residence. Drainage improvements have been designed to route existing drainage around and over the driveway and maintain existing drainage patterns."
"GRD25-0195 Ready for Plan",Check,"Grading Permit",11/17/2025,,"5688 Lakeville Hwy Lakeville [LAK]",068-060-050,$0.00,$0.00,"** EP250036 To Complete GRD16-0179, Commercial Grading & Drainage for Future Restaurant Remodel and Parking Area. *Needs Full Plan Check since over 2 Code Cycles*"
GRD25-0196,,,11/20/2025,,"3217 Lovall Valley Rd Sonoma [SON]",127-062-015,$3452.30,$0.00,"(EVT17-05139) Grading and Drainage Improvements for construction of new structure and associated site improvements to replace a previously existing residence that was lost in the 2017 fires"
"GRD25-0197 Ready for Plan",Check,"Grading Permit",11/21/2025,,"Sonoma [SON]",133-020-059,$3452.30,$0.00,"Grading and drainage associated with proposed residential development consisting of a new SFD, ADU, and other residential accessory structures"
"GRD25-0198 Ready for Plan",Check,"Grading Permit",11/21/2025,,"17700 Carriger Rd Sonoma [SON]",133-020-058,$3452.30,$0.00,"Grading and drainage associated with proposed residential development consisting of a new SFD, ADU, and other residential accessory structures"
GRD25-0199,,,11/28/2025,,"11835 Hwy 116 N Forestville [FOR]",085-140-001,$3093.50,$0.00,"Legalize Placement of Rock Rip Rap for Essential Bridge Abutment Protection to clear VPL25-0389"
SEP25-0354,"Plan Check Comments Sent","Septic Permit",11/3/2025,,"Sonoma [SON]",133-020-059,$1430.44,$0.00,"Drip system to serve 8 bedrooms at 960 GPD. To renew SEP21-0519."
SEP25-0355,Check,"Septic Permit",11/3/2025,,"21786 Moscow Rd Monte Rio [MRO]",095-066-005,$631.09,$0.00,"Septic tank installation permit and review septic reserve area"
SEP25-0356,"Application Accepted/In Review","Septic Permit",11/4/2025,,"1195 San Antonio Rd Petaluma [PET]",019-250-007,$1226.21,$0.00,"Legalize New Standard Septic System 3-bedroom (1195 San Antonio Rd)"
SEP25-0357,"Plan Check Comments Sent","Septic Permit",11/4/2025,,"4747 Sullivan Way Santa Rosa [SR]",031-180-021,$141.82,$0.00,"septic tank destruct connect to sewer"
SEP25-0358,Check,"Septic Permit",11/4/2025,,"1670 Ridge Rd Sonoma [SON]",127-361-005,$1265.21,$0.00,"Standard septic system repair permit with drip irrigation reserve (1670 Ridge Rd)"
SEP25-0359,"Application Accepted/In Review","Septic Permit",11/4/2025,,"1185 Hart Ln Santa Rosa [SRO]",059-130-011,$1430.44,$0.00,"New Non Standard At Grade Drip Septic System for proposed 5 bedrooms"
SEP25-0360,Finaled,"Septic Permit",11/5/2025,11/13/2025,"825 Rose Ave Penngrove [PEN]",047-021-047,$1293.09,$0.00,"Emergency Septic Tank Installation Permit"
SEP25-0361,"Plan Check Comments Sent","Septic Permit",11/6/2025,,"1633 Willowside Rd Santa Rosa [SRO]",057-012-054,$631.09,$0.00,"1633 WILLOWSIDE ROAD (TANK ONLY)"
SEP25-0362,Check,"Septic Permit",11/6/2025,,"3690 Wallace Rd Rincon Valley [RIN]",029-180-015,$810.60,$0.00,"EVT17-04353 7-bedroom non- standard drip irrigation system design for a parcel undergoing a minor subdivision (ref. MNS25-0012) 2017 Sonoma Complex Fire (3690 Wallace Rd)"
SEP25-0363,Check,"Septic Permit",11/10/2025,,"351 Paula Ln Petaluma [PET]",019-080-019,$1430.44,$0.00,"5 bedrooms, Drip Dispersal System installed at grade with fill new drip system to serve 5 bedrooms at 600 GPD"
SEP25-0364,"Plan Check Comments Sent","Septic Permit",11/14/2025,,"160 Dorchester Ct N Windsor [WIN]",058-241-013,$140.00,$0.00,"EVT17-04790 Septic Tank Destruct, Connect to Sewer - 2017 Sonoma Complex Fire"
SEP25-0365,Check,"Septic Permit",11/17/2025,,"3762 Lovall Valley Rd Sonoma [SON]",127-061-017,$1391.44,$0.00,"5-bedroom drip irrigation system design (3762 Lovall Valley Rd)"
SEP25-0366,Pre-Issue,"Septic Permit",11/17/2025,,"3948 Lovall Valley Rd Sonoma [SON]",127-061-019,$3151.44,$0.00,"8-bedroom drip irrigation septic system design (Lovall Valley Rd)"
SEP25-0367,"Plan Check Comments Sent","Septic Permit",11/17/2025,,"3850 Lovall Valley Rd Sonoma [SON]",127-061-061,$1391.44,$0.00,"5-bedroom drip irrigation system design (Lovall Valley Rd)"
SEP25-0368,Check,"Septic Permit",11/17/2025,,"3850 Lovall Valley Rd Sonoma [SON]",127-061-061,$1391.44,$0.00,"NEW NONSTANDARD 8 BEDROOM DRIP SYSTEM 8-bedroom drip irrigation septic system design (3850 Lovall Valley Rd)"
SEP25-0369,Check,"Septic Permit",11/17/2025,,"960 Maacama Ln Geyserville [GEY]",132-070-024,$1391.44,$0.00,"NEW NONSTANDARD 7-BEDROOM DRIP IRRIGATION FOR 4 BEDROOM RESIDENCE AND 3 BEDROOM FARM FAMILY DWELLING 7-bedroom drip irrigation system design (960 Maacama Ln)"
SEP25-0370,"Plan Check Comments Sent","Septic Permit",11/18/2025,,"2175 London Ranch Rd Glen Ellen [GLE]",054-040-068,$947.97,$0.00,"Septic System Repair – Remove (E) Plastic Septic Tank, Install (N) 1250 Gal Roth Fraco MOD DRMT Septic Tank (IAPMO Approved), Repair (E) Leach Lines within same trench dimensions. Replace (E) Soil, Leach Line, & Gravel, Dispose of waste materials in approved landfill"
SEP25-0371,Check,"Septic Permit",11/18/2025,,"777 Fair Ave Petaluma [PET]",048-031-025,$1391.44,$0.00,"New 2-Bedroom At-Grade System w/ 200% Expansion Area for (N) 2-BR ADU & (E) 3-BR SFD. Initially for VESTING"
SEP25-0372,"Application Accepted/In Review","Septic Permit",11/19/2025,,"8929 Water Rd Cotati [CO]",144-370-002,$0.00,$0.00,"Demolish existing septic tank in preparation to connect to City of Cotati sewer."
SEP25-0373,Check,"Septic Permit",11/20/2025,,"2011 Chapman Ln Petaluma [PET]",021-030-065,$1265.21,$0.00,"New Standard Septic System 6 BDRM (2011 CHAPMAN LANE)"
SEP25-0374,"Application Accepted/In Review","Septic Permit",11/24/2025,,"756 Bailhache Ave Healdsburg [HEA]",088-110-027,$1265.21,$0.00,"Standard Pressure Distribution System for Potential 8 bedrooms"
SEP25-0376,"Application Accepted/In Review","Septic Permit",11/26/2025,,"22296 Moscow Rd Monte Rio [MRO]",096-200-004,$631.09,$0.00,"THIS PLAN IS FOR A CESSPOOL REPLACEMENT IN ACCORDANCE WITH SECTION 20.3 OF THE OWTS MANUAL. THIS SYSTEM IS INTENDED TO SERVE EXISTING RESIDENTIAL USES ON-SITE"
"SEW25-0141 Ready for Plan",Check,"Sewer Construction",11/7/2025,,"5135 Vista Grande Dr Windsor [WIN]",039-110-005,$290.73,$0.00,"EVT17-04421 Construct upper lateral for replacement SFD - sewer service fees due on separate Fee-Only SEW"
"SEW25-0142 Ready for Plan",Check,"Sewer Construction",11/13/2025,,"42189 Leeward Rd Sea Ranch [SEA]",156-570-034,$290.73,$0.00,"Connect sewer for a new SFD to the existing Sea Ranch sewer property line lateral stub out."
"SEW25-0143 Ready for Plan",Check,"Sewer Construction",11/17/2025,,"369 5th St W Sonoma [SO]",127-204-018,$1312.85,$0.00,"Connect sewer for sweetwater spectrum M8 office"
"SEW25-0144 Ready for Plan",Check,"Sewer Construction",11/20/2025,,"308 Stirrup Ct Windsor [WIN]",039-300-008,$290.73,$0.00,"Replace 3"" sewer lateral to street for 3 bath house wastewater repipe with ABS (appx. 250 ft.)."
SEW25-0145,"Awaiting Applicant Response","Sewer Construction",11/20/2025,,"160 Dorchester Ct N Windsor [WIN]",058-241-013,$0.00,$0.00,"Install new 4-inch sewer lateral from new single-family residence to existing County sewer main located in Dorchester Court. Work includes trenching, bedding, pipe installation, cleanouts per County standard, and connection to the public sewer main. Existing septic tank to be abandoned under separate permit."
"SEW25-0147 Ready for Plan",Check,"Sewer Construction",11/24/2025,,"637 5th St E Sonoma [SO]",018-321-024,$290.73,$0.00,"Replace lower sewer lateral from the edge of the property on the driveway to the city main connection located in the street."
SEW25-0148,Started,"Sewer Construction",11/26/2025,,"2234 Francisco Ave Santa Rosa [SR]",034-022-005,$0.00,$0.00,"Demolition of septic tank in advance of city sewer hook up"
SEW25-0137,Finaled,"Sewer Fee Only",11/4/2025,,"43 Wild Iris Sea Ranch [SEA]",156-620-004,$1349.87,$0.00,"1.00 ESD service fees only for new SFD"
SEW25-0139,Finaled,"Sewer Fee Only",11/6/2025,,"20540 David St Sonoma [SON]",128-311-013,$7627.34,$0.00,"Add 0.40 ESD for 495sf ADU. New parcel assessment 1.40 ESD."
SEW25-0146,Paid,"Sewer Land Use Authority",11/21/2025,,"Sonoma [SON]",128-162-020,$7213.57,$0.00,"Annexation to SVCSD for Minatta"
BLD25-6703,Issued,Solar-SolarAPP,11/1/2025,11/01/2025,"1478 Olivet Rd B Santa Rosa [SRO]",057-130-080,$454.00,$0.00,"Install 8.4kw dc roof mount solar system with pre-engineered mounting system for ADU unit."
