permit_number,status,permit_type,applied_date,issued_date,address,parcel_number,fee,valuation,description
BLD25-6822,Check,"Building Permit With Plan Check",11/6/2025,,"1671 Bloomfield Rd Twin Hills [TWI]",063-081-002,$482.75,,"SFD, Ground Mount Solar Panel Install 5.4kW, 24 kw ESS"
BLD25-6824,,"Plan Check",11/6/2025,,"8580 Graton Rd Graton [GRA]",130-180-021,$2054.07,$84429.05,"New Manufactured Steel Garage (2,995 SF)"
BLD25-6828,Issued,"Building Permit With Plan Check",11/6/2025,11/19/2025,"6610 Barbara Dr Sebastopol [SEB]",063-020-018,$629.25,,"SFD, Install Roof-mount PV 9.20kW DC, and ESS 18.82kWh AC. Roof-mount PV 9.20kW DC, and ESS 18.82kWh AC."
BLD25-6830,"Resubmittal Received","Building Permit With Plan Check",11/6/2025,,"90 Maple Ave Kenwood [KEN]",050-277-004,$187.89,$3266.00,"SFD, seismic retrofit per Standard Plan A"
BLD25-6831,"Resubmittal Requested","Building Permit With Plan Check",11/6/2025,,"4605 Dry Creek Rd Geyserville [GEY]",090-210-025,$447.61,$97000.00,"New inground gunite pool, spa and automated cover (STK24-0002) $97,000"
BLD25-6833,Issued,"Building Permit With Plan Check",11/6/2025,11/13/2025,"97 Eton Ct Windsor [WIN]",058-161-006,$629.25,,"SFD, Installation of Rooftop 8.70kW PV Solar & 13.5kW Battery System (20) PV Modules (10) RSD Modules (1) Battery/Inverter (1) Controller (2) RSD Switch (2) Bollard"
BLD25-6834,Issued,"Building Permit With Plan Check",11/6/2025,12/04/2025,"20400 Coleman Valley Rd Bodega Bay [BBY]",101-090-001,$406.85,,"Renew at 5% BLD18-7129: 20'x22' addition to permitted barn. All inspections complete except for final for BLD18-7129"
BLD25-6840,Issued,"Building Permit With Plan Check",11/7/2025,11/14/2025,"1252 W Sexton Rd Twin Hills [TWI]",077-040-006,$479.10,,"SFD - (N) 32kWh ESS Expansion being added to (E) PV System"
BLD25-6848,"Resubmittal Received","Building Permit With Plan Check",11/7/2025,,"2108 Westside Rd Healdsburg [HEA]",110-130-034,$0.00,$40000.00,"1. REMOVAL OF PG&E 12 kV OVERHEAD LINES & POLES FEEDING (E) RESIDENCE AND AG METERS. 2. INSTALLATION OF NEW UNDERGROUND PG&E SERVICE TO NEW UTILITY PAD. 3. INSTALLATION OF NEW UNDERGROUND DISTRIBUTION TO RESIDENCE AND (E) AG WELL. 4. INSTALLATION OF NEW 600A 120/208V 3PH 4W METER FOR RESIDENCE. 5. INSTALLATION OF NEW 200A 120/208V 3PH 4W METER FOR AG WELL."
BLD25-6849,Issued,"Building Permit With Plan Check",11/7/2025,12/04/2025,"605 Hunter Ln Bellevue [BEL]",045-141-079,$629.25,,"Installing new 7.830 kWp PV system w/ess"
BLD25-6850,Issued,"Building Permit With Plan Check",11/7/2025,11/20/2025,"2015 Redwood Hill Rd Mark West Springs [MWS]",079-100-026,$407.76,,"To Complete BLD17-3907 @ 15% - EVT17-02032 New ADU 998 SF - 2017 Sonoma Complex Fire"
BLD25-6851,"Awaiting Applicant Response","Building Permit With Plan Check",11/7/2025,,"1485 Olivet Rd Santa Rosa [SRO]",057-011-062,$0.00,$0.00,"8 X 20 Cargo Container"
BLD25-6854,"Resubmittal Requested","Building Permit With Plan Check",11/7/2025,,"5050 Lavender Ln Mark West Springs [MWS]",067-160-019,$103.00,,"Generator permit"
BLD25-6855,"Awaiting Applicant Response","Building Permit With Plan Check",11/7/2025,,"14270 Valley Ford Rd Twin Hills [TWI]",026-010-077,$0.00,$31009.00,"New Detached Garage 1100SF, with 66 SF associated flatwork, demolish (E) garage 590SF"
BLD25-6856,,"Plan Check",11/7/2025,,"638 Hunter Ln Penngrove [PEN]",045-141-050,$1839.13,$83108.97,"New Barn 2,016 SF with cov'd porch 1,113 SF, accessory post frame barn"
BLD25-6857,Issued,"Building Permit With Plan Check",11/7/2025,11/13/2025,"4876 Bodega Ave Petaluma [PET]",021-110-012,$454.00,$0.00,"Res, Roof Mount Solar Panel Install PV 3.96kW on ADU"
BLD25-6858,Issued,"Building Permit With Plan Check",11/7/2025,11/14/2025,"2375 Eastman Ln Petaluma [PET]",021-050-075,$629.25,,"SFD - Adding 2.49kW of Roof-mounted solar modules to existing PV System, 5kWh ESS, 200A Main Service Panel upgrade. 6 Roof solar Modules, DC system size 2.49kW, 1 X Enphase battery, Main Panel Upgrade 200A/225A, cut and swing, add small battery shade cover"
BLD25-6859,Issued,"Building Permit With Plan Check",11/7/2025,11/18/2025,"20037 Oyster Catcher Loop Bodega Bay [BBY]",100-420-037,$629.25,,"SFD, Roof Mount Solar Install 12.88kW & ESS 30kWh"
BLD25-6861,Issued,"Building Permit With Plan Check",11/7/2025,11/20/2025,"5062 Lavender Ln Mark West Springs [MWS]",067-160-019,$407.76,,"To Complete BLD18-0039 - EVT17-05094 New 998 SF ADU - 2017 Sonoma Complex FireTo Complete BLD18-0039 @ 15% - EVT17-05094 New 998 SF ADU - 2017 Sonoma Complex Fire RENEW @ 15%"
BLD25-6862,Issued,"Building Permit With Plan Check",11/7/2025,11/26/2025,"127 Cabrillo Close Sea Ranch [SEA]",156-100-008,$479.10,,"SFD - (N) 30kWh ESS, transfer switch, and Tesla wall connector being installed inside garage Two Franklin WH batteries with Franklin WH agate transfer switch with Tesla wall connector to be installed inside of garage."
BLD25-6863,Issued,"Building Permit With Plan Check",11/7/2025,11/14/2025,"13378 Arnold Dr Glen Ellen [GLE]",054-260-036,$479.10,,"SFD, New ESS 10kWh AC to Connect to (E) PV"
BLD25-6864,"Resubmittal Received","Building Permit With Plan Check",11/7/2025,,"370 Fish Rock Sea Ranch [SEA]",156-400-017,$479.10,,"SFD - (N) 10kWh ESS and (N) Transfer switch Franklin WH battery back up with a Franklin agate."
BLD25-6865,Issued,"Building Permit With Plan Check",11/7/2025,11/13/2025,"3300 Westwind Blvd Santa Rosa [SRO]",059-370-021,$752.41,$10000.00,"PROPOSED NEW ROOF PENETRATION ON AN (E) ROOF FOR VENTS"
BLD25-6873,Issued,"Building Permit With Plan Check",11/10/2025,12/01/2025,"21005 Peary Ave Sonoma [SON]",126-052-018,$3665.46,$39606.00,"690 SF Remodel to convert ADU into an Art Studio - ORIGINAL ADU CONVERSION INTO ART STUDIO - ""NON STRUCTURAL"" - (E) ART STUDIO: CONFIRMING THIS STRUCTURE IS AN ""ART STUDIO"" (FORMERLY AN ADU)"
BLD25-6876,Check,"Building Permit With Plan Check",11/10/2025,,"9615 Lau Ln Penngrove [PEN]",047-011-013,$968.15,$18888.00,"Residential - (N) 800 SF Roof extension being added to (E) Barn - Creating Covered Porch Construct a 6-foot deep by 100-foot long shed-style roof extension with an 20- inch overhang. The new roof section will be structurally integrated with existing framing and supported by posts and beams. Roofing materials, pitch, and drainage will match or complement existing construction. Work includes installation of fascia and drip edge to ensure weather protection and code compliance. No change to building footprint or occupancy."
BLD25-6882,"Awaiting Applicant Response","Building Permit With Plan Check",11/10/2025,,"3949 Vine Hill Rd 1 Graton [GRA]",130-050-027,$0.00,$0.00,"Placement of up to three SEA-LAND shipping containers (two at no more than 20ft long, and 1 at no more than 40ft long) along the South East side of the property on a temporary basis for storage only. The placement is away from the street frontage on Vine Hill Rd to the West, and looks toward the industrial hemp seed facility to the South. These will be set 10ft off the property line for set back."
BLD25-6891,Issued,"Building Permit With Plan Check",11/10/2025,11/15/2025,"17 Winter Brook Ln Mark West Springs [MWS]",067-240-032,$670.82,,"1. INSTALL 20.01 kW SFD ROOF-TOP PHOTOVOLTAIC SOLAR SYSTEM 2. INSTALL 94.5 kWh ENERGY STORAGE SYSTEM IN DETACHED GARAGE"
BLD25-6894,,"Plan Check",11/10/2025,,"2760 Rollo Rd Bennett Valley [BEN]",055-220-004,$2121.68,,"EVT17-04620: Swimming Pool w/ Spa and Automatic Safety Cover 14' x 32' Swimming Pool w/ Spa and Automatic Safety Cover Project Valuation: $124,000"
BLD25-6896,,"Plan Check",11/10/2025,,"3255 Joy Rd Occidental [OCC]",073-220-046,$1709.36,$67656.00,"Accessory Structure: Garage / Storage (2,400 SF) w/ electrical & 1/5 bath To construct a 2400 sf accessory structure/garage. It contains one half bath with one sink and one toilet."
BLD25-6897,"Awaiting Applicant Response","Building Permit With Plan Check",11/10/2025,,"7300 Old Lakeville Rd 3 Lakeville [LAK]",068-110-011,$0.00,$0.00,remodel
BLD25-6903,Issued,"Building Permit With Plan Check",11/11/2025,11/18/2025,"1401 Spring Hill Rd Petaluma [PET]",020-050-019,$629.25,,"SFD, Roof Mount Solar Panel Install, DC system 6.56kW, 1 X Tesla Inc AC powerwall"
BLD25-6910,"Awaiting Applicant Response","Building Permit With Plan Check",11/11/2025,,"4275 Whistler Ave Bellevue [BEL]",045-031-018,$0.00,$30721.60,"Legalize with permit, Barn addition - storage and bathroom 728 SF, covered porch 728 SF. Code enforcement plan set for additional square footage added to existing barn."
BLD25-6911,Issued,"Building Permit With Plan Check",11/11/2025,11/17/2025,"19299 Carriger Rd Sonoma [SON]",052-371-021,$629.25,,"SFD, Roof Mount Solar 5.98kW with ESS 15kWh"
BLD25-6915,Check,"Building Permit With Plan Check",11/11/2025,,"8950 Old Redwood Hwy Cotati [COT]",046-233-010,$3194.77,,"New SFD (1,900 SF) with Decks (225 SF total) - Det'd Garage under BLD25- 7037. Connect to (E) 4-BDR Septic & Water Supply Provided by 10 GPM Well"
