Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"10531 Bogue Street, Temple City, California 91780",8586-011-069,B25-48812,Building,RR Residential Alteration,REPLACE OLD SHINGLE ROOF WITH NEW SHINGLE ROOF ,"$15,000",Issued,03-24-2025,03-24-2025,03-24-2026,,Owner-Builder
"10531 Freer Street, Temple City, California 91780",8585-021-039,E25-48801,Electrical,,PANEL UPGRADE TO 200 AMP ,$0,Issued,03-20-2025,03-24-2025,03-24-2026,,Photonics Electric & IT Services Inc. 
"5401 Welland Avenue, Temple City, California 91780",8573-016-050,E25-48810,Electrical,,ADD (2) SWITCHES ,$0,Issued,03-24-2025,03-24-2025,03-24-2026,,Owner-Builder
"10912 Freer Street, Temple City, California 91780",8574-008-028,M25-48816,Mechanical,,"REPLACE 5 TON GOODMAN UNITS CONDENSER, FURNACE AND COIL ",$0,Issued,03-24-2025,03-24-2025,03-24-2026,,Huaie Zhang 
"5401 Welland Avenue, Temple City, California 91780",8573-016-050,P25-48811,Plumbing,,REPLACE (3) SHOWERS  AND (3) WATER CLOSETS ,$0,Issued,03-24-2025,03-24-2025,03-24-2026,,Owner-Builder
"5004 Golden West Avenue Unit B , Temple City, California 91780",8589-022-021,B25-48783,Building,CB Combo Building,INSTALL 2.97KW ROOF MOUNTED SOLAR PV SYSTEM (9) MODULES WITH BUILT-IN MICRO-INVERTERS ,$9000,Issued,03-18-2025,03-25-2025,03-25-2026,,Sun Bees Group dba True Power Solar
"5014 Temple City Boulevard, Temple City, California 91780",8589-014-007,B25-48793,Building,CB Combo Building,INSTALL 13.12 KW DC ROOF MOUNTED SOLAR PV SYSTEM (32) SOLAR MODULES & TESLA ENERGY STORAGE SYSTEM ,"$70,000",Issued,03-20-2025,03-25-2025,03-25-2026,,Solar Tech Systems Inc. 
"9521 Longden Avenue, Temple City, California 91780",5382-022-067,B25-48819,Building,RR Residential Alteration,REPLACE NEW ROOF SHINGLES. CERTAINTEED LANDMARK GRAPHITE. ROOF TEAR OFF APPROX. 2400 SQ.FT. REPLACE FASCIA BOARDS ,"$12,000",Issued,03-25-2025,03-25-2025,03-25-2026,,TD Construction 
"5527 Welland Avenue, Temple City, California 91780",8573-015-030,B25-48822,Building,RR Residential Alteration,REMOVE (2) COMP & (1) ROLLED. INSTALL FOREST BROWN O/C COMP COOL ROOF CRRC #0890-0018A AND S/A BASE & CAP FLAT ROOF ,"$16,400",Issued,03-25-2025,03-25-2025,03-25-2026,,Preferred Roofing 
"6127 Golden West Avenue, Temple City, California 91780",5385-020-018,B25-48823,Building,RR Residential Alteration,TEAR OFF HOUSE ONLY. INSTALL OSB-PLY RE-ROOF 24 SQ.'S W/GRAND SEQUOIA GAF 45 FOREST BROWN CRRC # 0676-0151,"$42,000",Issued,03-25-2025,03-25-2025,03-25-2026,,Garvey Roofing Company Inc. 
