Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"9017 Hermosa Drive, Temple City, California 91780",5384-016-021,B25-50119,Building,CB Combo Building,INSTALL RESIDENTIAL ROOF MOUNTED SOLAR PV SYSTEM 9.14 KWDC  (21) MODULES WITH BATTERY ENERGY STORAGE SYSTEM 13.5 KWH ,"$41,890.02",Issued,09-25-2025,10-23-2025,10-23-2026,,Solar Tech Systems Inc. 
"9014 Pentland Street Unit A , Temple City, California 91780",5388-020-002,B25-50311,Building,CB Combo Building,INSTALL RESIDENTIAL ROOF MOUNTED SOLAR PV SYSTEM 3.48KWDC/3.80KWAC (8) MODULES ,"$11,500",Issued,10-20-2025,10-23-2025,10-23-2026,,Solar Tech Systems Inc. 
"9014 Pentland Street Unit B , Temple City, California 91780",5388-020-002,B25-50312,Building,CB Combo Building,INSTALL RESIDENTIAL ROOF MOUNTED SOLAR PV SYSTEM 3.48KWDC/3.80KWAC (8) MODULES ,"$11,500",Issued,10-20-2025,10-23-2025,10-23-2026,,Solar Tech Systems Inc. 
"9014 Pentland Street Unit C , Temple City, California 91780",5388-020-002,B25-50313,Building,CB Combo Building,INSTALL RESIDENTIAL ROOF MOUNTED SOLAR PV SYSTEM 3.48KWDC/3.80KWAC (8) MODULES ,"$11,500",Issued,10-20-2025,10-23-2025,10-23-2026,,Solar Tech Systems Inc. 
"5522 Gracewood Avenue, Arcadia, California 91007",8586-015-039,E25-49700,Electrical,,PROVIDE POWER (BRANCH CIRCUIT) TO REPLACE FAULTY BOILER WITH (2) VERTICAL STORAGE WATER HEATERS (1) NEW CIRCULATION PUMP. POWER TO TWO NEW EXHAUST FAN AND NEW LIGHTING ,$0,Issued,07-29-2025,10-23-2025,10-23-2026,,Owner-Builder
"9017 Hermosa Drive, Temple City, California 91780",5384-016-021,E25-50185,Electrical,,BATTERY ENERGY STORAGE SYSTEM 13.5 KWH ,$0,Issued,10-02-2025,10-23-2025,10-23-2026,,Solar Tech Systems Inc. 
"5008 Camellia Avenue, Temple City, California 91780",8589-017-018,E25-50337,Electrical,,EXISTING ELECTRICAL PANEL REPAIR ,$0,Finaled,10-23-2025,10-23-2025,10-23-2026,11-17-2025,Ultimax Electric Corp. 
"5429 Cambury Avenue Unit B , Temple City, California 91780",8588-020-003,E25-50338,Electrical,,INSTALL 100 AMP SERVICE PANEL FOR THE ATTACHED ACCESSORY DWELLING UNIT ,$0,Issued,10-23-2025,10-23-2025,10-23-2026,,
"4809 Kauffman Avenue Unit B , Temple City, California 91780",8589-016-025,E25-50341,Electrical,,ELECTRICAL FOR A NEW DETACHED ACCESSORY DWELLING WITH 200 AMP SERVICE PANEL ,$0,Issued,10-23-2025,10-23-2025,10-23-2026,,888 Water Restoration LLC 
"10930 Daines Drive, Temple City, California 91780",8573-018-043,E25-50344,Electrical,,UPGRADE TO 200 AMP SERVICE PANEL ,$0,Finaled,10-23-2025,10-23-2025,10-23-2026,11-13-2025,Yireh Electric Inc.  
"5522 Gracewood Avenue, Arcadia, California 91007",8586-015-039,M25-49701,Mechanical,,ADDITION OF TWO RESTROOM EXHAUST FANS ,$0,Issued,07-29-2025,10-23-2025,10-23-2026,,Owner-Builder
"4809 Kauffman Avenue Unit B , Temple City, California 91780",8589-016-025,M25-50342,Mechanical,,INSTALL (3) MINI SPLIT SYSTEMS AND VENTILATION FANS FOR THE NEW DETACHED ACCESSORY DWELLING UNIT ,$0,Issued,10-23-2025,10-23-2025,10-23-2026,,888 Water Restoration LLC 
"5522 Gracewood Avenue, Arcadia, California 91007",8586-015-039,P25-49702,Plumbing,,REPLACE FAULTY BOILER AND STORAGE TANK WITH (2) VERTICAL STORAGE WATER HEATERS. PROVIDE NEW HOT/COLD WATER PIPING SYSTEMS TO INTERCEPT EXISTING INFRASTRUCTURE.  (1) NEW CIRCULATION PUMP AND (2) EXPANSION TANKS ARE INCLUDED IN THE NEW CONSTRUCTION. REPLACE RESTROOM PLUMBING FIXTURES AND ASSOCIATED PIPING,$0,Issued,07-29-2025,10-23-2025,10-23-2026,,Owner-Builder
"4809 Kauffman Avenue Unit B , Temple City, California 91780",8589-016-025,P25-50343,Plumbing,,PLUMBING FOR A NEW DETACHED ACCESSORY DWELLING UNIT AND CONNECT TO PUBLIC SEWER ,$0,Issued,10-23-2025,10-23-2025,10-23-2026,,888 Water Restoration LLC 
"5303 Golden West Avenue, Temple City, California 91780",8589-003-026,B25-48821,Building,RA Residential Addition,"453 SQ.FT. ADDITION OF ONE BEDROOM, ONE BATHROOM, FAMILY ROOM AND KITCHEN AND 110 SQ.FT. INTERIOR REMODEL ","$85,800.1",Issued,03-25-2025,10-27-2025,10-27-2026,,Owner-Builder
"4951 Birchland Place, Temple City, California 91780",8585-013-037,B25-50316,Building,CB Combo Building,INSTALL 6.96KW ROOF MOUNTED SOLAR PV SYSTEM (16) MODULES WITH (16) MICRO-INVERTERS. INSTALL (1) 15.0KWH ESS. ,"$26,000",Finaled,10-20-2025,10-27-2025,10-27-2026,11-06-2025,Sun Bees Group dba True Power Solar
"9914 La Rosa Drive, Temple City, California 91780",8589-023-005,B25-50347,Building,RR Residential Alteration,TEAR OFF ROOFING MATERIALS. REPLACE WITH NEW ASPHALT SHINGLES ,$6000,Finaled,10-27-2025,10-27-2025,10-27-2026,11-06-2025,Owner-Builder
"6034 Loma Avenue, Temple City, California 91780",5384-013-010,B25-50353,Building,CB Combo Building,INSTALL (24) MODULES ROOF MOUNTED SYSTEM SIZE: 10.56 KW DC STC & 6.96 KW AC ,"$20,000",Finaled,10-27-2025,10-27-2025,10-27-2026,11-12-2025,Solar Solutions 4 U Inc. dba H L V Electric Co.
