Address,Parcel No,Permit No,Permit Type,Bldg Permit Subtype,Work Description,Valuation,Permit Status,Application Date,Issue Date,Expire Date,Final Date,Contractor
"9655 Woodruff Avenue Unit B , Temple City, California 91780",5385-018-015,P25-48516,Plumbing,,"BATHTUB, CLOTHES WASHER, HOSE BIBB, LAVATORY, SINK, WATER CLOSET, WATER HEATER, WATER MAIN AND CONNECT DETACHED ACCESSORY DWELLING UNIT TO PUBLIC SEWER ",$0,Issued,02-10-2025,02-10-2025,02-10-2026,,JP Service dba P Construction CO.
"4877 Fratus Drive, Temple City, California 91780",8590-030-038,P25-48528,Plumbing,,"WALK-IN SHOWER, LAVATORY AND WATER CLOSET ",$0,Issued,02-10-2025,02-10-2025,02-10-2026,,Owner-Builder
"5218 Golden West Avenue, Temple City, California 91780",8589-009-007,P25-48547,Plumbing,,MAIN SEWER LINE REPLACEMENT ,$0,Finaled,02-10-2025,02-10-2025,02-10-2026,02-13-2025,Shilo Plumbing 
"9063 Acaso Drive Unit B , Temple City, California 91780",5388-016-005,P25-48550,Plumbing,,PLUMBING FOR A NEW DETACHED ACCESSORY DWELLING UNIT AND CONNECT TO PUBLIC SEWER ,$0,Issued,02-10-2025,02-10-2025,02-10-2026,,Da Hong Construction Inc. 
"9961 Las Tunas Drive, Temple City, California 91780",8587-032-020,B25-48474,Building,CR Commercial Alteration,"SCOPE: SHINGLE DEMO (3 LAYERS) AND RE ROOF MATERIAL: IKO CAMBRIDGE SHINGLES COLOR DUAL GREY CRRC: 1214-0002 AREA: 19 SQUARES = 1,900 SQ.FT. ","$17,267",Issued,02-03-2025,02-11-2025,02-11-2026,,JAX J CC Inc. AMS Construction 
"10607 Sparklett Street, Temple City, California 91780",8585-025-010,B25-48553,Building,RR Residential Alteration,TEAR OFF EXISTING ROOF MATERIAL AND INSTALL NEW ASPHALT SHINGLE (24 SQ'S) OWENS CORNING GOLDEN MEADOW CRRC #: 0890-0033 AND JM COOL TORCH (2 SQ'S) CRRC #: 0662-0042C,"$17,200",Issued,02-11-2025,02-11-2025,02-11-2026,,CJK Construction Inc. dba Ace Tek Roofing 
"6245 Loma Avenue, Temple City, California 91780",5384-009-020,B25-48555,Building,RR Residential Alteration,TEAR OFF EXISTING ROOF SYSTEM. INSTALL NEW ROOF SYSTEM 25 SQUARES OF SHINGLES AND 9 SQUARES OF DOUBLE  TORCH TO HOUSE AND ATTACHED GARAGE. 34 SQUARES ,"$32,000",Issued,02-11-2025,02-11-2025,02-11-2026,,Americas Best Roofing Company Inc. 
"4847 Willmonte Avenue, Temple City, California 91780",8589-024-013,B25-48556,Building,RR Residential Alteration,"MAIN HOUSE - REMOVE EXISTING TILES, REPLACE UNDERLAYMENT AND INSTALL NEW ASPHALT SHINGLES 1800 SQ.FT. ",$3000,Issued,02-11-2025,02-11-2025,02-11-2026,,Owner-Builder
"4847 Willmonte Avenue, Temple City, California 91780",8589-024-013,B25-48557,Building,OT Other,"DETACHED GARAGE - REMOVE EXISTING TILES, REPLACE UNDERLAYMENT AND INSTALL NEW ASPHALT SHINGLES 480 SQ.FT. ",$1000,Issued,02-11-2025,02-11-2025,02-11-2026,,Owner-Builder
"5550 Pal Mal Avenue, Temple City, California 91780",8586-010-059,MISC25-48554,Miscellaneous,,TO VERIFY COMPLIANCE: TO REMOVE UNPERMITTED STRUCTURE ATTACHED TO CARPORT ,$0,Issued,02-11-2025,02-11-2025,02-11-2026,,Owner-Builder
"9821 Daines Drive, Temple City, California 91780",8588-016-039,B25-48558,Building,RR Residential Alteration,TEAR OFF EXISTING COMPOSITION SHINGLE FROM HOUSE AND GARAGE. INSTALL NEW ASTM #30 FONTANA FELT. INSTALL NEW COMPOSITION SHINGLES ON HOUSE AND GARAGE ,"$11,900",Finaled,02-12-2025,02-12-2025,02-12-2026,02-26-2025,Rodgers Roofing Inc. 
"5530 Alessandro Avenue, Temple City, California 91780",8588-003-013,B25-48560,Building,OT Other,"TO COMPLETE WORK STARTED UNDER PERMIT # B21-41514 FOR A NEW  2-STORY SFD: 5 BEDROOMS, 5.5 BATHROOMS WITH ATTACHED 3-CAR GARAGE AND FRONT PORCH ",$0,Issued,02-12-2025,02-12-2025,02-12-2026,,J & J Enterprise Construction Inc. 
"4830 Cloverly Avenue, Temple City, California 91780",8590-020-007,B25-48564,Building,RR Residential Alteration,DEMOLISH (E) WOOD SIDING INSTALL NEW R-13 INSULATION & NEW HARDIBACKER CEMENT SIDING ,$9600,Issued,02-12-2025,02-12-2025,02-12-2026,,B X D Construction Inc. 
"9045 Hermosa Drive, Temple City, California 91780",5384-016-046,B25-48565,Building,OT Other,DETACHED GARAGE ONLY - DISMANTLE AND REMOVE HALF OF THE EXISTING WOODEN STRUCTURE AS PART OF THE RENOVATION. DISMANTLE COMPLETE GARAGE SHINGLES ROOF. CONSTRUCT A NEW WOODEN FRAMEWORK FOR THE ROOF TO REPLACE THE EXISTING STRUCTURE. APPLY SHINGLES TO THE ROOF TO ENSURE PROPER PROTECTION AND INSULATION. REPAIR AND RETOUCH THE STUCCO ,$8000,Issued,02-12-2025,02-12-2025,02-12-2026,,Wallprime General Construction 
